0xffc01b1c,wrapped_malloc
0xffc02830,exmem_alloc
0xffc02cd4,printclock_FW
0xffc02dd8,StopClockSaver_FW
0xffc02df4,SetLClk72MHz_FW
0xffc02e04,SetLClk36MHz_FW
0xffc02e14,SetLClk18MHz_FW
0xffc02ebc,SetHClk72MHz_FW
0xffc02f00,SetHClk36MHz_FW
0xffc02f28,SetHClk18MHz_FW
0xffc02f6c,SetMClk72MHz_FW
0xffc02fb0,SetMClk36MHz_FW
0xffc02fd8,SetMClk18MHz_FW
0xffc0301c,task_ClockSave
0xffc03ad0,DebugAssert
0xffc041a0,LocalTime
0xffc047dc,GetTimeOfSystem_FW
0xffc048d8,AllocateUncacheableMemory
0xffc0490c,FreeUncacheableMemory
0xffc04b10,_GetSystemTime
0xffc04b10,GetSystemTime
0xffc04c64,SetTimerAfter
0xffc04d00,SetTimerWhen
0xffc04d78,CancelTimer
0xffc05560,SetHPTimerAfterNow
0xffc055ec,SetHPTimerAfterTimeout
0xffc059d4,CancelHPTimer
0xffc0666c,RegisterEventProcedure_FW
0xffc067f0,ExecuteEventProcedure
0xffc067f0,ExecuteEventProcedure_FW
0xffc06a0c,ExportToEventProcedure_FW
0xffc071a4,CreateProxyOfEventProcedure_FW
0xffc0722c,DeleteProxyOfEventProcedure_FW
0xffc07c58,LogCameraEvent
0xffc07cc0,PutsCameraLogEvent_FW
0xffc07dc8,ShowCameraLogInfo_FW
0xffc07e6c,ShowCameraLog_FW
0xffc0814c,StopCameraLog_FW
0xffc09f6c,StartWDT_FW
0xffc09fe8,StopWDT_FW
0xffc0a15c,GetBuildDate_FW
0xffc0a174,GetBuildTime_FW
0xffc0a198,GetFirmwareVersion_FW
0xffc0a280,RomCheckSum_FW
0xffc0a314,CheckSumAll_FW
0xffc0a4d0,SystemEventDelete_FW
0xffc0a514,SystemEventInit_FW
0xffc0a5f0,Dump32_FW
0xffc0a704,FreeMemory
0xffc0a704,FreeMemory_FW
0xffc0a718,AllocateMemory
0xffc0a718,AllocateMemory_FW
0xffc0a728,Wait_FW
0xffc0a73c,Poke32_FW
0xffc0a760,Poke16_FW
0xffc0a784,Poke8_FW
0xffc0a7a8,Peek32_FW
0xffc0a7c4,Peek16_FW
0xffc0a7e0,Peek8_FW
0xffc0a7fc,EraseSignature_FW
0xffc0a82c,GetSystemTime_FW
0xffc0a84c,MonSelEvent_FW
0xffc0a884,exec_FW
0xffc0b280,RotateConsoleZOder_FW
0xffc0b328,CPrintf_FW
0xffc0b38c,CPutChar_FW
0xffc0b3c0,GetCh_FW
0xffc0b424,GetStringWithPrompt_FW
0xffc0b4a8,OpenConsole_FW
0xffc0b5f4,CloseConsole_FW
0xffc0b740,task_ConsoleSvr
0xffc0b8dc,task_LowConsole
0xffc0ef2c,task_UartSio
0xffc0f364,CreateEventFlag
0xffc0f470,DeleteEventFlag
0xffc0f650,CheckAnyEventFlag
0xffc0f660,CheckAllEventFlag
0xffc0f700,WaitForEventFlag
0xffc0f8a4,WaitForAnyEventFlag
0xffc0f8b4,WaitForAllEventFlag
0xffc0f8c4,SetEventFlag
0xffc0fa60,ClearEventFlag
0xffc0fab0,GetEventFlagValue
0xffc0fc40,RegisterInterruptHandler
0xffc0fc64,UnregisterInterruptHandler
0xffc0fc7c,GetSRAndDisableInterrupt
0xffc0fc88,SetSR
0xffc0fca8,EnableInterrupt
0xffc0fce8,CreateMessageQueue
0xffc0fe38,DeleteMessageQueue
0xffc10074,ReceiveMessageQueue
0xffc102e8,TryReceiveMessageQueue
0xffc1048c,PostMessageQueue
0xffc106b4,TryPostMessageQueue
0xffc107e0,GetNumberOfPostedMessages
0xffc10860,CreateBinarySemaphore
0xffc10948,CreateCountingSemaphore
0xffc10948,CreateCountingSemaphore_FW
0xffc10a54,DeleteSemaphore
0xffc10a54,DeleteSemaphore_FW
0xffc10c60,TakeSemaphore
0xffc10c60,TakeSemaphore_FW
0xffc10de4,TryTakeSemaphore
0xffc10e48,GiveSemaphore
0xffc10e48,GiveSemaphore_FW
0xffc10f1c,GetSemaphoreValue
0xffc11164,SleepTask
0xffc11164,SleepTask_FW
0xffc11250,CreateTask
0xffc11250,CreateTask_FW
0xffc11610,ExitTask
0xffc11610,ExitTask_FW
0xffc1208c,CreateRecursiveLock
0xffc121a8,DeleteRecursiveLock
0xffc12280,AcquireRecursiveLock
0xffc12328,ReleaseRecursiveLock
0xffc123b8,CreateTaskStrictly
0xffc123f8,CreateMessageQueueStrictly
0xffc12424,CreateEventFlagStrictly
0xffc12450,CreateBinarySemaphoreStrictly
0xffc1247c,CreateCountingSemaphoreStrictly
0xffc124a8,CreateRecursiveLockStrictly
0xffc12518,task_ShutdownTask
0xffc125d0,task_Bye
0xffc12800,Restart
0xffc12900,WriteToRom_FW
0xffc129d8,EraseSectorOfRom_FW
0xffc1408c,SetPropertyCase
0xffc141a8,GetPropertyCase
0xffc157c4,Driver_EnableEventProc_FW
0xffc1613c,task_PhySw
0xffc16184,kbd_p1_f
0xffc16190,kbd_p1_f_cont
0xffc16250,kbd_read_keys
0xffc16568,kbd_p2_f
0xffc16908,ShowPhySwStatus_FW
0xffc169fc,OnPrintPhySw_FW
0xffc16a14,OffPrintPhySw_FW
0xffc16a28,GetSwitchStatus_FW
0xffc16fd8,kbd_read_keys_r2
0xffc17564,GetKbdState
0xffc17564,kbd_pwr_on
0xffc1758c,kbd_pwr_off
0xffc17c00,OnPrintHVSw_FW
0xffc17c18,OffPrintHVSw_FW
0xffc18d60,GetAdChValue_FW
0xffc18da0,GetAdVBattBottom_FW
0xffc19e74,SetBattCheckMode_FW
0xffc19efc,ShowBattCheckMode_FW
0xffc19f9c,ShowBattChkAdj_FW
0xffc1a318,GetLBOffset_FW
0xffc1a328,LowBat_Result_Print_On_FW
0xffc1a340,LowBat_Result_Print_Off_FW
0xffc1a354,BatVoltageToAd_FW
0xffc1af18,task_TempCheck
0xffc1b4cc,VbattGet
0xffc1b4cc,VbattGet_FW
0xffc1b860,Bat_Calc_FW
0xffc1b860,CalculateBatSenseOffset_FW
0xffc1bb28,ExecuteLoadTest_FW
0xffc1bb38,TurnOn_LoadTest_DebugMode_FW
0xffc1bb4c,TurnOff_LoadTest_DebugMode_FW
0xffc1bb60,LoadTest_Result_Print_On_FW
0xffc1bb74,LoadTest_Result_Print_Off_FW
0xffc1c460,GetOpticalTemperature
0xffc1c460,GetOpticalTemperature_FW
0xffc1c474,GetCCDTemperature
0xffc1c474,GetCCDTemperature_FW
0xffc1c488,GetBatteryTemperature
0xffc1c488,GetBatteryTemperature_FW
0xffc1c55c,task_LEDCon
0xffc1c9e0,LEDDrive
0xffc1c9e0,LEDDrive_FW
0xffc1c9f8,AFAssistBeam_FW
0xffc1ca18,PostLEDMessage_FW
0xffc1cf98,task_OutportBeep_AccessTask
0xffc1d42c,BeepDrive_FW
0xffc1d440,BeepDriveComp_FW
0xffc1d454,BeepTest_FW
0xffc1d688,task_DMAADC
0xffc1dc84,task_DMADAC
0xffc1ecb8,TurnOnVideoOutMode_FW
0xffc1ed54,TurnOffVideoOutMode_FW
0xffc20b14,task_FORMAT_TASK_PROGRESS
0xffc20b90,task_FORMAT_TASK_NAME
0xffc29610,task_CTG
0xffc2df68,task_CtgTotalTask
0xffc2ee10,task_FileManEraseAllTask
0xffc49e18,task_EnterDPOFAllOrdersTask
0xffc4eacc,task_ConfirmPlayOrder
0xffc4eacc,task_ConfirmPrintOrder
0xffc4eacc,task_ConfirmTransferOrder
0xffc53324,task_FileScheduleTask
0xffc54ce4,task_FileWrite
0xffc54ce4,task_FileWriteTask
0xffc55d34,RenameFile_Fut
0xffc55db4,DeleteFile_Fut
0xffc55e40,MakeDirectory_Fut
0xffc55eb8,Fopen_Fut
0xffc55eb8,Fopen_Fut_FW
0xffc55ef4,Fclose_Fut
0xffc55ef4,Fclose_Fut_FW
0xffc55fd8,Fread_Fut
0xffc55fd8,Fread_Fut_FW
0xffc56028,Fwrite_Fut
0xffc56028,Fwrite_Fut_FW
0xffc56078,Fgets_Fut
0xffc560c0,Fseek_Fut
0xffc560c0,Fseek_Fut_FW
0xffc56108,Feof_Fut
0xffc56140,Fflush_Fut
0xffc569c8,task_ReadAsyncTask
0xffc5bd48,Mount_FileSystem
0xffc5be50,Unmount_FileSystem
0xffc5bfa8,UpdateMBROnFlash
0xffc5c270,GetDrive_ClusterSize
0xffc5c2ac,GetDrive_TotalClusters
